Word Romance,Coefficient
lavender,4
cerulean,4
tuscan,5
vineyards,3
rustic,3
farmhouse,3
joy,4
muse,5
lorenzo,5
bb,3
sunkissed,4
skin,3
fig,3
conversation,3
constellations,3
legends,3
honey,4
sunwarmed,3
wine,3
chianti,4
plum,3
spice,3
moonlight,4
kiss,5
figs,4
exploration,3
starlit,4
secrets,3
walls,3
sunrise,3
bittersweet,3
meadow,3
wildflowers,3
easel,3
canvas,3
villa,3
sunlight,3
dancing,5
promise,3
symphony,3
harmony,5
magic,5
story,3
lives,3
